Month,Forecast_Revenue,Lower_95,Upper_95
2011-01-01,182955.0319999999,180995.0670354781,184914.99696452168
2011-02-01,131711.31599999988,129751.35005549682,133671.28194450293
2011-03-01,324130.8309999999,322170.86407551606,326090.7979244837
2011-04-01,219134.36199999985,217174.39409553574,221094.32990446396
2011-05-01,224985.73999999987,223025.77111555598,226945.70888444377
2011-06-01,263523.4899999999,261563.5201355767,265483.4598644231
